"","GENE","ESCAPE_CATEGORY","AVG_P_VAL","START","END","BAND_COLOR","CHROM_POS"
"23","HCFC1","VARIABLE","0.353520342151917","153947557","153971818","gray80","Xq28"
"24","HNRNPH2","VARIABLE","0.50255972681318","101408222","101414133","gray80","Xq22.1"
"25","HUWE1","VARIABLE","0.465430704140527","53532096","53686719","gray60","Xp11.22"
"26","IDS","VARIABLE","0.516770623435809","149476988","149505347","gray80","Xq28"
"27","IL3RA","VARIABLE","0.0318517192870192","1336616","1382689","gray80","Xp22.33"
"28","IRAK1","VARIABLE","0.533270914666437","154010506","154019902","gray80","Xq28"
"29","ITM2A","VARIABLE","0.567207395129333","79360384","79367552","gray0","Xq21.1"
"30","KDM6A","VARIABLE","0.00693626529864492","44873177","45112602","gray20","Xp11.3"
"31","LAMP2","VARIABLE","0.452487404230028","120426148","120469365","gray80","Xq24"
"32","MSL3","VARIABLE","0.057310186893117","11758159","11775772","gray40","Xp22.2"
"33","PGK1","VARIABLE","0.556818667697717","77910739","78129295","gray0","Xq21.1"
"34","PHF6","VARIABLE","0.431853637140322","134373253","134428791","gray60","Xq26.2"
"35","PLCXD1","VARIABLE","0.0932085827385586","276322","303356","gray80","Xp22.33"
"36","PLXNA3","SUPPRESS","0.549106438201216","154458281","154477779","gray80","Xq28"
"37","PRKX","VARIABLE","0.0227794228175039","3604340","3713649","gray80","Xp22.33"
"38","PRPS2","SUPPRESS","0.536410230675363","12791370","12824222","gray40","Xp22.2"
"39","RAB9A","ESCAPE","0.0137090758385382","13689128","13710504","gray40","Xp22.2"
"40","RBBP7","VARIABLE","0.0420474053626606","16844341","16870414","gray40","Xp22.2"
"41","RBM10","SUPPRESS","0.680495706796667","47145221","47186813","gray20","Xp11.3"
"42","RPL10","VARIABLE","0.55011138091182","154397154","154402339","gray80","Xq28"
"43","SASH3","VARIABLE","0.508958220412667","129779949","129795201","gray80","Xq26.1"
"44","SYN1","VARIABLE","0.582696265032986","47571901","47619857","gray20","Xp11.3"
"45","TIMP1","VARIABLE","0.582696265032986","47582408","47586789","gray20","Xp11.3"
"46","TMSB4X","VARIABLE","0.304779309971002","12975110","12977227","gray40","Xp22.2"
"47","TREX2","VARIABLE","0.646152196497134","153444720","153470587","gray80","Xq28"
"48","TXLNG","VARIABLE","0.0413910402668603","16786432","16844519","gray40","Xp22.2"
"49","UBL4A","SUPPRESS","0.473849534393888","154483717","154486615","gray80","Xq28"
"50","VBP1","VARIABLE","0.492396891522352","155197007","155239841","gray80","Xq28"
"51","WWC3","VARIABLE","0.513779038932066","10015562","10144478","gray40","Xp22.2"
"52","XIAP","VARIABLE","0.461403231343966","123859812","123913979","gray0","Xq25"
"53","XIST","VARIABLE","0.491248512105425","73820651","73852723","gray40","Xq13.2"
"54","ZBED1","VARIABLE","0.0142415644754709","2486414","2500976","gray80","Xp22.33"
"55","ZNF275","VARIABLE","0.355139534396651","153334147","153352926","gray80","Xq28"
"56","APOO","VARIABLE","0.465280294499259","23833353","23907938","gray80","Xp22.11"
"57","BRCC3","VARIABLE","0.481397646270995","155071420","155123074","gray80","Xq28"
"58","C1GALT1C1","VARIABLE","0.441861917800912","120625674","120630054","gray80","Xq24"
"59","CD99L2","VARIABLE","0.497458723449181","150766336","150898816","gray80","Xq28"
"60","CLIC2","VARIABLE","0.289605162515315","155276211","155334614","gray80","Xq28"
"61","EIF1AX","VARIABLE","0.222447312813698","20124525","20141838","gray40","Xp22.12"
"62","EIF2S3","VARIABLE","0.154629349516421","24054956","24078810","gray80","Xp22.11"
"63","EMD","VARIABLE","0.301483328732006","154379273","154381523","gray80","Xq28"
"64","ERCC6L","VARIABLE","0.322628037003124","72204657","72239027","gray80","Xq13.1"
"65","HDAC8","VARIABLE","0.558939080805017","72329516","72573101","gray80","Xq13.1"
"66","MORF4L2","VARIABLE","0.579881294054196","103675496","103688158","gray40","Xq22.2"
"67","MTCP1","VARIABLE","0.481397646270995","155064034","155147775","gray80","Xq28"
"68","P2RY8","VARIABLE","0.018445691658963","1462581","1537185","gray80","Xp22.33"
"69","PIN4","VARIABLE","0.0743797860197433","72181676","72264311","gray80","Xq13.1"
"70","RPS4X","VARIABLE","0.0265059790277876","72272042","72277248","gray80","Xq13.1"
"71","RPS6KA3","VARIABLE","0.460576187094711","20149911","20267519","gray40","Xp22.12"
"72","SAT1","VARIABLE","0.463946435506983","23783173","23786226","gray80","Xp22.11"
"73","SLC25A6","ESCAPE","1.90764815995706e-05","1386152","1392113","gray80","Xp22.33"
"74","SMC1A","VARIABLE","0.0637505962772441","53374149","53422728","gray60","Xp11.22"
"75","SNX12","VARIABLE","0.483715598504038","71056332","71073426","gray80","Xq13.1"
"76","SUV39H1","VARIABLE","0.549200637982895","48695554","48709012","gray80","Xp11.23"
"77","TCEAL4","VARIABLE","0.53299495764943","103576231","103587736","gray40","Xq22.2"
"78","TLR7","VARIABLE","0.411019271376564","12867072","12890361","gray40","Xp22.2"
"79","TMEM164","VARIABLE","0.529748591054393","110002635","110177788","gray20","Xq23"
"80","ZBTB33","VARIABLE","0.514750399844114","120250752","120258398","gray80","Xq24"
"81","ZFX","VARIABLE","0.048358654871285","24149645","24216255","gray80","Xp22.11"
"82","ABCB7","SUPPRESS","0.318336703702533","75051048","75156286","gray80","Xq13.3"
"83","ACOT9","VARIABLE","0.532007929005521","23701055","23766475","gray80","Xp22.11"
"84","AIFM1","VARIABLE","0.527348991171548","130129362","130165887","gray80","Xq26.1"
"85","APEX2","VARIABLE","0.62999524456496","55000363","55009057","gray80","Xp11.21"
"86","ARMCX2","VARIABLE","0.458180607826342","101655281","101659850","gray80","Xq22.1"
"87","ARMCX5","SUPPRESS","0.338542092202428","102599168","102604159","gray80","Xq22.1"
"88","CENPI","SUPPRESS","0.564328898595261","101100437","101163681","gray80","Xq22.1"
"89","CYSLTR1","SUPPRESS","0.507442476739452","78271468","78327691","gray0","Xq21.1"
"90","FAM199X","SUPPRESS","0.512427239114657","104166453","104195902","gray40","Xq22.2"
"91","GK","SUPPRESS","0.529929244879054","30653359","30731456","gray80","Xp21.2"
"92","HTATSF1","SUPPRESS","0.62800988134232","136497079","136512346","gray80","Xq26.3"
"93","KIF4A","VARIABLE","0.311297142007676","70290104","70420886","gray80","Xq13.1"
"94","MAGED2","VARIABLE","0.528696937195487","54807599","54816015","gray80","Xp11.21"
"95","MAP7D3","VARIABLE","0.385463493420317","136213220","136256482","gray80","Xq26.3"
"96","MED12","VARIABLE","0.508889713752509","71118556","71142454","gray80","Xq13.1"
"97","MED14","VARIABLE","0.341217257508083","40648305","40735542","gray80","Xp11.4"
"98","MORC4","SUPPRESS","0.368167068663485","106940738","107000212","gray80","Xq22.3"
"99","P2RY10","VARIABLE","0.364826670657262","78945332","78963727","gray0","Xq21.1"
"100","PIR","VARIABLE","0.456035418061134","15384799","15493564","gray40","Xp22.2"
"101","RBM3","VARIABLE","0.606574459694889","48574484","48581162","gray80","Xp11.23"
"102","RP2","SUPPRESS","0.309273867035882","46837043","46882358","gray20","Xp11.3"
"103","SLC9A7","VARIABLE","0.5115817113184","46599251","46759118","gray20","Xp11.3"
"104","TAF9B","VARIABLE","0.4677018572311","78129748","78139650","gray0","Xq21.1"
"105","TBC1D8B","SUPPRESS","0.368167068663485","106802673","106876150","gray80","Xq22.3"
"106","TBL1X","VARIABLE","0.455146975319291","9463295","9741037","gray80","Xp22.31"
"107","TFE3","SUPPRESS","0.659156676106152","49028726","49043357","gray80","Xp11.23"
"108","TIMM17B","SUPPRESS","0.655088171449278","48893447","48898143","gray80","Xp11.23"
"109","TRAPPC2","VARIABLE","0.18379408987982","13712244","13734635","gray40","Xp22.2"
"110","TRMT2B","VARIABLE","0.636370303182775","101009346","101052116","gray80","Xq22.1"
"111","TSIX","VARIABLE","0.524192289102182","73792205","73829231","gray40","Xq13.2"
"112","TSPYL2","SUPPRESS","0.479335525168669","53082367","53088540","gray60","Xp11.22"
"113","ZDHHC9","SUPPRESS","0.44512418735297","129803288","129843886","gray80","Xq26.1"
"114","ARHGAP4","VARIABLE","0.540603271983403","153907367","153926260","gray80","Xq28"
"115","ARMCX3","VARIABLE","0.493519636621053","101622797","101627843","gray80","Xq22.1"
"116","CXorf40A","VARIABLE","0.43015634181882","149540630","149550510","gray80","Xq28"
"117","CYBB","VARIABLE","0.477919561417132","37780059","37813461","gray0","Xp21.1"
"118","EBP","SUPPRESS","0.832525601947992","48521808","48528716","gray80","Xp11.23"
"119","ELK1","VARIABLE","0.520558263541528","47635521","47650591","gray80","Xp11.23"
"120","MAGED1","VARIABLE","0.61571749956383","51803007","51902357","gray60","Xp11.22"
"121","MAGEH1","VARIABLE","0.541272361368148","55452127","55453566","gray80","Xp11.21"
"122","MTMR1","VARIABLE","0.482879276490731","150693374","150765108","gray80","Xq28"
"123","NDUFA1","SUPPRESS","0.472646811551648","119871832","119876662","gray80","Xq24"
"124","NONO","SUPPRESS","0.61733157720182","71283192","71301168","gray80","Xq13.1"
"125","RNF113A","SUPPRESS","0.438380250269132","119870475","119871733","gray80","Xq24"
"126","SH3BGRL","VARIABLE","0.526388765787234","81202102","81298547","gray0","Xq21.1"
"127","ZMYM3","SUPPRESS","0.678618629805891","71239624","71255146","gray80","Xq13.1"
"128","ATP11C","SUPPRESS","0.567520811498808","139726346","139933070","gray20","Xq27.1"
"129","CCDC22","VARIABLE","0.474351907559703","49235470","49250520","gray80","Xp11.23"
"130","DMD","VARIABLE","0.415768597741756","31119219","33339441","gray80","Xp21.2"
"131","DOCK11","VARIABLE","0.507999514337443","118495898","118686163","gray80","Xq24"
"132","DYNLT3","VARIABLE","0.493032315973794","37836757","37847571","gray80","Xp11.4"
"133","NSDHL","VARIABLE","0.613567200737165","152830967","152869729","gray80","Xq28"
"134","PHF8","SUPPRESS","0.549679248399747","53936676","54045249","gray60","Xp11.22"
"135","SLC25A5","VARIABLE","0.649467013201614","119468444","119471396","gray80","Xq24"
"136","TBC1D25","VARIABLE","0.503553212701537","48539714","48562609","gray80","Xp11.23"
"137","WASF4P","VARIABLE","0.73682355256802","47803296","47804789","gray80","Xp11.23"
"138","ZNF75D","VARIABLE","0.493133174931812","135285791","135344109","gray80","Xq26.3"
"139","BCAP31","SUPPRESS","0.561238982166847","153700492","153724435","gray80","Xq28"
"140","FTX","VARIABLE","0.313868195763031","73946555","74293574","gray40","Xq13.2"
"141","MSN","VARIABLE","0.273356638691795","65667654","65741931","gray40","Xq12"
"142","PIGA","SUPPRESS","0.716148763273473","15319451","15335580","gray40","Xp22.2"
"143","PRICKLE3","VARIABLE","0.543597116275066","49174802","49186373","gray80","Xp11.23"
"144","SLC25A43","VARIABLE","0.422432008580118","119399336","119454478","gray80","Xq24"
"145","STS","VARIABLE","0.0664680476575782","7147291","7453758","gray80","Xp22.31"
"146","UPRT","VARIABLE","0.460341455915947","75156388","75304885","gray80","Xq13.3"
"147","VMA21","VARIABLE","0.494135792486773","151396566","151409364","gray80","Xq28"
"148","GEMIN8","VARIABLE","0.143416248516425","14008279","14029893","gray40","Xp22.2"
"149","GRIPAP1","VARIABLE","0.410494995754675","48973723","49002264","gray80","Xp11.23"
"150","NXT2","VARIABLE","0.47216043783315","109535781","109544690","gray20","Xq23"
"151","PNPLA4","ESCAPE","0.000153376162170057","7898247","7927739","gray80","Xp22.31"
"152","UPF3B","SUPPRESS","0.640212620910063","119834022","119852998","gray80","Xq24"
"153","CXorf40B","VARIABLE","0.317915306103204","149929527","149938491","gray80","Xq28"
"154","KDM5C","ESCAPE","7.45879746986033e-07","53191321","53225422","gray60","Xp11.22"
"155","L1CAM","SUPPRESS","0.528691156417309","153861514","153886173","gray80","Xq28"
"156","ALG13","VARIABLE","0.152498345936614","111681118","111760649","gray20","Xq23"
"157","DKC1","SUPPRESS","0.484689479583587","154762742","154777689","gray80","Xq28"
"158","FTSJ1","SUPPRESS","0.510413023962122","48476021","48486364","gray80","Xp11.23"
"159","MAP7D2","VARIABLE","0.332361023946119","20006713","20116907","gray40","Xp22.12"
"160","SLC38A5","VARIABLE","0.623208668042355","48458537","48470260","gray80","Xp11.23"
"161","ATP7A","VARIABLE","0.39452138722884","77910656","78050395","gray0","Xq21.1"
"162","CHM","VARIABLE","0.280533889698102","85861180","86047558","gray80","Xq21.2"
"163","HDAC6","SUPPRESS","0.502006860273014","48802016","48824976","gray80","Xp11.23"
"164","KLHL15","SUPPRESS","0.371914814110943","23983720","24027186","gray80","Xp22.11"
"165","USP9X","VARIABLE","0.16999314880745","41085445","41236579","gray80","Xp11.4"
"166","CA5BP1","VARIABLE","0.0608615620252248","15674932","15703724","gray40","Xp22.2"
"167","CUL4B","SUPPRESS","0.396767690333438","120524612","120575794","gray80","Xq24"
"168","HMGB3","SUPPRESS","0.764262453885041","150983335","150990771","gray80","Xq28"
"169","LAGE3","SUPPRESS","0.604215913729282","154477769","154479257","gray80","Xq28"
"170","NUS1P1","SUPPRESS","0.927231887311337","47512602","47513483","gray20","Xp11.3"
"171","PBDC1","SUPPRESS","0.57794559753078","76173040","76178314","gray80","Xq13.3"
"172","THOC2","SUPPRESS","0.516867107471502","123600569","123733056","gray0","Xq25"
"173","ARHGAP6","VARIABLE","0.304956890828723","11117651","11665920","gray40","Xp22.2"
"174","CXorf56","VARIABLE","0.492941664482257","119538149","119565408","gray80","Xq24"
"175","HCCS","VARIABLE","0.653802753741135","11111301","11123086","gray40","Xp22.2"
"176","HMGN5","SUPPRESS","0.539282089220874","81113699","81201913","gray0","Xq21.1"
"177","MAP3K15","VARIABLE","0.531932587877135","19360679","19515261","gray40","Xp22.12"
"178","PDHA1","VARIABLE","0.547155621029164","19343893","19361718","gray40","Xp22.12"
"179","POLA1","VARIABLE","0.541858366882799","24693919","24996986","gray80","Xp22.11"
"180","FUNDC1","VARIABLE","0.17746346460989","44523639","44542859","gray20","Xp11.3"
"181","PJA1","SUPPRESS","0.508473067496575","69160854","69165793","gray80","Xq13.1"
"182","RLIM","SUPPRESS","0.492093527320118","74582976","74614624","gray40","Xq13.2"
"183","TSC22D3","VARIABLE","0.599293768290554","107713221","107777078","gray80","Xq22.3"
"184","UTP14A","VARIABLE","0.621870099016105","129906121","129929761","gray80","Xq26.1"
"185","WDR44","SUPPRESS","0.494535529237933","118346073","118449961","gray80","Xq24"
"186","PGRMC1","VARIABLE","0.535913163354929","119236245","119244466","gray80","Xq24"
"187","PIM2","VARIABLE","0.377196677004208","48913182","48919024","gray80","Xp11.23"
"188","UBA1","VARIABLE","0.045562471671939","47190861","47215128","gray20","Xp11.3"
"189","CTPS2","SUPPRESS","0.592339303694685","16587999","16712936","gray40","Xp22.2"
"190","FAM122B","SUPPRESS","0.567421317352566","134769566","134797232","gray80","Xq26.3"
"191","MBTPS2","SUPPRESS","0.47422868212059","21839617","21885423","gray40","Xp22.12"
"192","RAP2C","VARIABLE","0.395818662526435","132203024","132219480","gray60","Xq26.2"
"193","RBM41","SUPPRESS","0.614668312258938","107064420","107118804","gray80","Xq22.3"
"194","SSR4","SUPPRESS","0.640701268719562","153793516","153798499","gray80","Xq28"
"195","TAB3","VARIABLE","0.283294601342726","30827442","30975084","gray80","Xp21.2"
"196","YIPF6","SUPPRESS","0.0969039204607674","68498782","68537282","gray40","Xq12"
"197","ZNF41","SUPPRESS","0.403113925166253","47445879","47482946","gray20","Xp11.3"
"198","TSR2","VARIABLE","0.48557293562658","54440404","54448032","gray60","Xp11.22"
"199","WAS","VARIABLE","0.270002183395752","48683799","48691427","gray80","Xp11.23"
"200","MBNL3","VARIABLE","0.503408865855545","132369317","132489968","gray60","Xq26.2"
"201","ARMCX6","SUPPRESS","0.418751060344988","101615125","101618001","gray80","Xq22.1"
"202","ATG4A","SUPPRESS","0.736566746626888","108091668","108154671","gray80","Xq22.3"
"203","COL4A6","SUPPRESS","0.736566746626888","108155607","108439472","gray80","Xq22.3"
"204","RAB39B","SUPPRESS","0.354191677898639","155258235","155264491","gray80","Xq28"
"205","TAF1","SUPPRESS","0.34689268812664","71366239","71466005","gray80","Xq13.1"
"206","FAM50A","SUPPRESS","0.565414125967191","154444141","154450654","gray80","Xq28"
"207","MMGT1","SUPPRESS","0.444038895399973","135962070","135974063","gray80","Xq26.3"
"208","TAZ","SUPPRESS","0.237928519978918","154411539","154421726","gray80","Xq28"
"209","RPL39","VARIABLE","0.336645494239013","119786504","119791630","gray80","Xq24"
"210","USP11","VARIABLE","0.479818550806407","47232866","47248328","gray20","Xp11.3"
"211","IL2RG","SUPPRESS","0.934647346645719","71107404","71111631","gray80","Xq13.1"
"212","CETN2","SUPPRESS","0.434567363820053","152826994","152830757","gray80","Xq28"
"213","COX7B","SUPPRESS","0.447680515174157","77899440","77907376","gray0","Xq21.1"
"214","MCTS1","SUPPRESS","0.416299077143355","120604101","120621159","gray80","Xq24"
"215","AMMECR1","VARIABLE","0.314156879178724","110194186","110440233","gray20","Xq23"
"216","ARAF","SUPPRESS","0.744813014187885","47561100","47571920","gray20","Xp11.3"
"217","GPX1P1","SUPPRESS","0.993384773737153","13378735","13379340","gray40","Xp22.2"
"218","GSPT2","SUPPRESS","0.469875766133648","51743442","51746232","gray60","Xp11.22"
"219","MOSPD2","SUPPRESS","0.929349699544673","14873421","14922327","gray40","Xp22.2"
"220","PPP2R3B","ESCAPE","2.07302723538951e-05","333933","386907","gray80","Xp22.33"
"221","RAB33A","SUPPRESS","0.436779612920554","130171962","130184870","gray80","Xq26.1"
"222","ATRX","VARIABLE","0.33085661127879","77504878","77786216","gray0","Xq21.1"
"223","HSPA8P1","SUPPRESS","0.984985352059206","121203182","121205014","gray80","Xq24"
"224","SLC9A6","SUPPRESS","0.469921280994805","135973841","136047269","gray80","Xq26.3"
"225","RENBP","SUPPRESS","0.680941888419094","153935269","153944687","gray80","Xq28"
"226","SH3KBP1","SUPPRESS","0.703990467988536","19533977","19887600","gray40","Xp22.12"
"227","BCOR","SUPPRESS","0.500497640545092","40051246","40177329","gray80","Xp11.4"
"228","BRWD3","SUPPRESS","0.369260511006963","80669503","80809877","gray0","Xq21.1"
"229","LAS1L","SUPPRESS","0.253896333358129","65512582","65534756","gray40","Xq12"
"230","PRAF2","SUPPRESS","0.295573212729571","49071161","49074002","gray80","Xp11.23"
"231","WDR45","SUPPRESS","0.295573212729571","49074442","49101121","gray80","Xp11.23"
"232","TMLHE","SUPPRESS","0.857292818328541","155489011","155612952","gray80","Xq28"
"233","PRPS1","VARIABLE","0.293401577147264","107628424","107651026","gray80","Xq22.3"
"234","SLC35A2","SUPPRESS","0.127506469675585","48903183","48911958","gray80","Xp11.23"
"235","MECP2","SUPPRESS","0.710362573385042","154021573","154097737","gray80","Xq28"
"236","SMS","VARIABLE","0.449330640788923","21940709","21994837","gray80","Xp22.11"
"237","BEX2","SUPPRESS","0.710965902276891","103309346","103311046","gray40","Xq22.2"
"238","TBCAP1","SUPPRESS","0.932903001219398","33041395","33041721","gray0","Xp21.1"
"239","OGT","VARIABLE","0.452027579870004","71533104","71575892","gray80","Xq13.1"
"240","UBE2A","SUPPRESS","0.613151675922889","119574536","119591083","gray80","Xq24"
"241","GNL3L","SUPPRESS","0.287043751164604","54530211","54567289","gray60","Xp11.22"
"242","NAA10","VARIABLE","0.091068397451854","153929225","153935041","gray80","Xq28"
"243","SLC25A14","SUPPRESS","0.819330127357437","130339888","130373361","gray80","Xq26.1"
"244","GLA","SUPPRESS","0.521836270420024","101397803","101407925","gray80","Xq22.1"
"245","RPL36A-HNRNPH2","SUPPRESS","0.521836270420024","101391011","101412297","gray80","Xq22.1"
"246","ZNF182","SUPPRESS","0.654627165153098","47974851","48003978","gray80","Xp11.23"
"247","ZNF81","SUPPRESS","0.654627165153098","47836902","47922256","gray80","Xp11.23"
"248","HSD17B10","SUPPRESS","0.7260775070303","53431258","53434370","gray60","Xp11.22"
"249","TCEAL8","SUPPRESS","0.855887670298353","103252995","103255185","gray80","Xq22.1"
"250","GPC4","SUPPRESS","0.698003354762751","133300103","133415489","gray60","Xq26.2"
"251","MID1IP1","SUPPRESS","0.470862439663251","38801432","38806537","gray80","Xp11.4"
"252","PQBP1","ESCAPE","0.0372753681992101","48890197","48903142","gray80","Xp11.23"
"253","FAM133A","ESCAPE","2.32664001282384e-09","93674013","93712274","gray80","Xq21.32"
"254","MAGEA3","ESCAPE","3.2593444345441e-05","152698767","152702347","gray80","Xq28"
"255","MAGEA6","ESCAPE","1.40196897350375e-101","152766136","152769747","gray80","Xq28"
"256","POF1B","ESCAPE","0.00601561101404169","85277396","85379717","gray0","Xq21.1"
"257","RBMX","ESCAPE","0.0477017246414752","136869187","136880764","gray80","Xq26.3"
"258","GPKOW","SUPPRESS","0.0580797366842669","49113407","49123735","gray80","Xp11.23"
"259","PSMD10","SUPPRESS","0.416001685575155","108084207","108091542","gray80","Xq22.3"
"260","BEX4","SUPPRESS","0.823924812713897","103215108","103217246","gray80","Xq22.1"
"261","TIMM8A","SUPPRESS","0.736752735099973","101345661","101348742","gray80","Xq22.1"
"262","PLS3","SUPPRESS","0.997875013272733","115561174","115650861","gray20","Xq23"
"263","SYAP1","ESCAPE","0.0206191907449292","16719612","16765340","gray40","Xp22.2"
"264","CXorf65","SUPPRESS","0.661529455424889","71103889","71106740","gray80","Xq13.1"
"265","NKRF","SUPPRESS","0.373015799892063","119588339","119605883","gray80","Xq24"
"266","PHKA2","SUPPRESS","0.640924462302523","18892298","18984114","gray80","Xp22.13"
"267","PLP2","SUPPRESS","0.0578390307903847","49171898","49175235","gray80","Xp11.23"
"268","RRAGB","SUPPRESS","0.668356358258321","55717739","55758774","gray80","Xp11.21"
