GENE,POS_HG19,POS,TISS,FULL_TISS,TISS_STATE,STATUS,COLOR,START,STOP
ABCB7,74376131,75156296,ST,stomach,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,HA,hair,inactive,variable,turquoise3,75051048,75156732
ABCB7,74376131,75156296,LI,liver,inactive,variable,turquoise3,75051048,75156732
ACOT9,23761406,23743289,HE,heart,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,OM,omentum,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,LI,liver,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,SA,saliva,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,LU,lung,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,HA,hair,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,ST,stomach,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,PA,pancreas,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,BU,buccal,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,BS,blood_spot,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,BL,blood,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,BC,buffy_coat,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,PM,PBMC,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,BR,brain,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,MU,muscle,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,KI,kidney,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,CB,cord_blood,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,KT,kidney_tubule,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,SL,spleen,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,B7,brain7,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,WB,whole_blood,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,B1,brain10,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,AD,adrenal,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,23701055,23766475
ACOT9,23761406,23743289,B2,brain20,inactive,inactive,lightsteelblue3,23701055,23766475
ACSL4,108976620,109733391,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,BU,buccal,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,LI,liver,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,LU,lung,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,HE,heart,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,BC,buffy_coat,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,PA,pancreas,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,SL,spleen,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,HA,hair,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,B2,brain20,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,BR,brain,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,BS,blood_spot,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,AD,adrenal,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,KT,kidney_tubule,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,B7,brain7,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,BL,blood,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,SA,saliva,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,KI,kidney,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,MU,muscle,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,B1,brain10,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,PM,PBMC,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,CB,cord_blood,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,ST,stomach,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,WB,whole_blood,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,109624244,109733403
ACSL4,108976620,109733391,OM,omentum,inactive,inactive,lightsteelblue3,109624244,109733403
AFF2,147582138,148500618,BL,blood,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,LU,lung,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,SA,saliva,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,BC,buffy_coat,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,BU,buccal,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,OM,omentum,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,KI,kidney,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,MU,muscle,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,HE,heart,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,PA,pancreas,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,ST,stomach,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,HA,hair,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,SL,spleen,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,BR,brain,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,B1,brain10,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,LI,liver,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,WB,whole_blood,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,PM,PBMC,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,B2,brain20,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,B7,brain7,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,KT,kidney_tubule,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,CB,cord_blood,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,AD,adrenal,inactive,inactive,lightsteelblue3,148500617,149000663
AFF2,147582138,148500618,BS,blood_spot,inactive,inactive,lightsteelblue3,148500617,149000663
AIFM1,129299860,130165886,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,LI,liver,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,BU,buccal,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,PA,pancreas,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,ST,stomach,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,LU,lung,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,AD,adrenal,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,B1,brain10,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,KT,kidney_tubule,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,B2,brain20,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,BR,brain,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,BS,blood_spot,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,HE,heart,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,OM,omentum,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,HA,hair,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,SL,spleen,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,BL,blood,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,PM,PBMC,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,B7,brain7,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,BC,buffy_coat,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,CB,cord_blood,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,MU,muscle,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,SA,saliva,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,WB,whole_blood,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,130124666,130165879
AIFM1,129299860,130165886,KI,kidney,inactive,inactive,lightsteelblue3,130124666,130165879
AK026512,103174130,103919547,PB,peripheral_blood_leukocytes,variable,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,BU,buccal,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,BC,buffy_coat,variable,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,BL,blood,variable,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,SA,saliva,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,KI,kidney,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,MU,muscle,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,SF,subcutaneous_fat,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,OM,omentum,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,ST,stomach,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,HA,hair,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,HE,heart,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,KT,kidney_tubule,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,PA,pancreas,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,AD,adrenal,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,SL,spleen,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,LU,lung,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,LI,liver,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,PC,brain_prefrontal_cortex,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,BR,brain,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,B1,brain10,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,B2,brain20,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,B7,brain7,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,WB,whole_blood,variable,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,PM,PBMC,variable,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,CB,cord_blood,escape,variable,turquoise3,103845151,103919548Ê
AK026512,103174130,103919547,BS,blood_spot,escape,variable,turquoise3,103845151,103919548Ê
AK055694,135991553,136909394,BS,blood_spot,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,KT,kidney_tubule,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,AD,adrenal,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,SL,spleen,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,LU,lung,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,LI,liver,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,BR,brain,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,B1,brain10,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,B2,brain20,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,B7,brain7,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,WB,whole_blood,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,PM,PBMC,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,CB,cord_blood,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,ST,stomach,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,OM,omentum,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,HA,hair,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,HE,heart,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,PA,pancreas,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,BU,buccal,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,BC,buffy_coat,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,BL,blood,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,SA,saliva,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,KI,kidney,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK055694,135991553,136909394,MU,muscle,inactive,inactive,lightsteelblue3,136909369,137022143Ê
AK057519,117973518,118839555,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,BU,buccal,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,BC,buffy_coat,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,BL,blood,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,SA,saliva,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,KI,kidney,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,MU,muscle,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,OM,omentum,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,ST,stomach,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,HA,hair,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,HE,heart,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,WB,whole_blood,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,CB,cord_blood,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,AD,adrenal,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,BR,brain,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,B1,brain10,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,B2,brain20,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,B7,brain7,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,PM,PBMC,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,PA,pancreas,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,SL,spleen,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,LU,lung,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,LI,liver,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,KT,kidney_tubule,inactive,inactive,lightsteelblue3,118839539,118919669
AK057519,117973518,118839555,BS,blood_spot,inactive,inactive,lightsteelblue3,118839539,118919669
AK094280,118602224,119468261,PB,peripheral_blood_leukocytes,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,BU,buccal,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,BC,buffy_coat,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,BL,blood,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,SA,saliva,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,KI,kidney,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,MU,muscle,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,OM,omentum,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,ST,stomach,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,HA,hair,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,HE,heart,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,PA,pancreas,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,AD,adrenal,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,SL,spleen,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,LU,lung,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,LI,liver,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,PC,brain_prefrontal_cortex,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,BR,brain,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,B1,brain10,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,B2,brain20,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,B7,brain7,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,WB,whole_blood,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,PM,PBMC,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,CB,cord_blood,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,BS,blood_spot,inactive,inactive,lightsteelblue3,119465986,119469128
AK094280,118602224,119468261,KT,kidney_tubule,inactive,inactive,lightsteelblue3,119465986,119469128
AK095439,131352649,132218621,PB,peripheral_blood_leukocytes,variable,variable,turquoise3,NA,NA
AK095439,131352649,132218621,BU,buccal,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,BC,buffy_coat,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,BL,blood,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,SA,saliva,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,KI,kidney,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,MU,muscle,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,SF,subcutaneous_fat,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,OM,omentum,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,ST,stomach,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,HA,hair,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,HE,heart,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,PA,pancreas,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,AD,adrenal,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,SL,spleen,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,LU,lung,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,LI,liver,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,PC,brain_prefrontal_cortex,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,BR,brain,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,B1,brain10,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,B2,brain20,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,B7,brain7,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,WB,whole_blood,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,PM,PBMC,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,CB,cord_blood,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,BS,blood_spot,inactive,variable,turquoise3,NA,NA
AK095439,131352649,132218621,KT,kidney_tubule,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,KT,kidney_tubule,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,PA,pancreas,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,CB,cord_blood,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,AD,adrenal,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,SL,spleen,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,LU,lung,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,LI,liver,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,PC,brain_prefrontal_cortex,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,BR,brain,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,B1,brain10,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,B2,brain20,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,B7,brain7,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,WB,whole_blood,uncalled,variable,turquoise3,NA,NA
AK098783,45710446,45851016,PM,PBMC,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,BS,blood_spot,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,HE,heart,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,PB,peripheral_blood_leukocytes,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,BU,buccal,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,BC,buffy_coat,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,BL,blood,variable,variable,turquoise3,NA,NA
AK098783,45710446,45851016,SA,saliva,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,KI,kidney,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,MU,muscle,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,SF,subcutaneous_fat,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,OM,omentum,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,ST,stomach,inactive,variable,turquoise3,NA,NA
AK098783,45710446,45851016,HA,hair,inactive,variable,turquoise3,NA,NA
AK310094,23801293,23783176,KT,kidney_tubule,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,BU,buccal,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,BC,buffy_coat,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,BL,blood,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,SA,saliva,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,KI,kidney,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,MU,muscle,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,SF,subcutaneous_fat,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,OM,omentum,inactive,inactive,lightsteelblue3,NA,NA
AK310094,23801293,23783176,ST,stomach,inactive,inactive,lightsteelblue3,NA,NA
